,,Header,Grouping,Phylum
Actinocyclus verrucosus,,Actinocyclus_verrucosus.pep,Nudibranchia,Mollusca
Amil,Acropora millepora,Acropora_millepora.pep.fa,Metazoa,Cnidaria
Aplysia californica,,Aplysia_californica.pep.fa,Heterobranchia,Mollusca
Aque,Amphimedon queenslandica,Amphimedon_queenslandica.pep.fa,Metazoa,Porifera
Architeuthis dux,,Architeuthis_dux.pep.fa,Mollusca,Mollusca
Archivesica marissinica,,Archivesica_marissinica.pep.fa,Mollusca,Mollusca
Argopecten purpuratus,,Argopecten_purpuratus.pep.fa,Mollusca,Mollusca
Bathymodiolus platifrons,,Bathymodiolus_platifrons.pep.fa,Mollusca,Mollusca
Berghia stephanieae,,Berghia_stephanieae_ref.pep,Nudibranchia,Mollusca
,,Berghia_stephanieae.pep,Nudibranchia,Mollusca
Biomphalaria glabrata,,Biomphalaria_glabrata.pep.fa,Heterobranchia,Mollusca
Blan,Branchiostoma lanceolatum,Branchiostoma_lanceolatum.pep.fa,Bilateria,Chordata
Cele,Caenorhabditis elegans,Caenorhabditis_elegans.pep.fa,Protostomia,Nematoda
Ceratosoma tenue,,Ceratosoma_tenue.pep,Nudibranchia,Mollusca
Chlamys farreri,,Chlamys_farreri.pep.fa,Mollusca,Mollusca
Chromodoris westraliensis,,Chromodoris_westraliensis.pep,Nudibranchia,Mollusca
Chrysomallon squamiferum,,Chrysomallon_squamiferum_v2.0.pep.fa,Gastropoda,Mollusca
Crassostrea gigas,,Crassostrea_gigas.pep.fa,Mollusca,Mollusca
Ctel,Capitella teleta,Capitella_teleta.pep.fa,Spiralia,Annelida
Danio rerio,Drer,Danio_rerio.pep.fa,Bilateria,Chordata
Drosophila melanogaster,Original name: Dmel,Drosophila_melanogaster.pep.fa,Protostomia,Arthropoda
Elysia chlorotica,,Elysia_chlorotica.pep.fa,Heterobranchia,Mollusca
Eubranchus rustyus,,Eubranchus_rustyus.pep,Nudibranchia,Mollusca
Favorinus auritulus,,Favorinus_auritulus.pep,Nudibranchia,Mollusca
Gigantopelta aegis,,Gigantopelta_aegis.pep.fa,Gastropoda,Mollusca
Haliotis discus hannai,,Haliotis_discus_hannai.pep.fa,Gastropoda,Mollusca
Hancockia uncinata,,Hancockia_uncinata.pep,Nudibranchia,Mollusca
Hermissenda crassicornis,,Hermissenda_crassicornis.pep,Nudibranchia,Mollusca
Hrob,Helobdella robusta,Helobdella_robusta.pep.fa,Spiralia,Annelida
Lottia gigantea,,Lottia_gigantea.pep.fa,Gastropoda,Mollusca
Magallana hongkongensis,,Magallana_hongkongensis.pep.fa,Mollusca,Mollusca
mantle c fornicata,,Crepidula_fornicata_mantle.pep,Gastropoda,Mollusca
Mmus,Mus musculus,Mus_musculus.pep.fa,Bilateria,Chordata
Mytilus coruscus,,Mytilus_coruscus_v2.0.pep.fa,Mollusca,Mollusca
Nvec,Nematostella vectensis,Nematostella_vectensis.pep.fa,Metazoa,Cnidaria
Octopus bimaculoides,,Octopus_bimaculoides.pep.fa,Mollusca,Mollusca
Patinopecten yessoensis,,Patinopecten_yessoensis.pep.fa,Mollusca,Mollusca
Pinctada fucata,,Pinctada_fucata.pep.fa,Mollusca,Mollusca
Pomacea canaliculata,,Pomacea_canaliculata.pep.fa,Gastropoda,Mollusca
Prodoris clavigera,,Prodoris_clavigera.pep,Nudibranchia,Gastropoda
Saccostrea glomerata,,Saccostrea_glomerata.pep.fa,Mollusca,Mollusca
Scapharca broughtonii,,Scapharca_broughtonii.pep.fa,Mollusca,Mollusca
Scyllaea fulva,,Scyllaea_fulva.pep,Nudibranchia,Gastropoda
Sinovacula constricta,,Sinonovacula_constricta.pep.fa,Mollusca,Mollusca
Spur,Strongylocentrotus purpuratus,Strongylocentrotus_purpuratus.pep.fa,Bilateria,Echinodermata
Tritonia festiva,,Tritonia_festiva.pep,Nudibranchia,Gastropoda
Tritonia hamnerorum,,Tritonia_hamnerorum.pep,Nudibranchia,Gastropoda
Unidentia angelvaldesi,,Unidentia_sp.pep,Nudibranchia,Gastropoda
Verconia verconis,,Verconia_verconis.pep,Nudibranchia,Gastropoda
